#==================================================================
# OMERE 5.6.1.30196 - Orbit
#
# File: C:\Users\giorg\Documents\OMERE 5.6\orbit.dat
# Creation: 13/01/2025 03:11:53
#==================================================================

# Number of segment(s) in the mission: 1

#*************************************************************
# Segment : 1/1
#*************************************************************
# Name :                                AEOLUS Orbit
# Duration :                            5 year(s)
# Perigee :                             320.000000km
# Apogee :                              320.000000km
# Inclination :                         97.000°
# Argument of Perigee :                 0.000°
# Longitude of Ascending node :         0.000°
# (with respect to Greenwich)
# True Anomaly :                        0.000°
# Period :                              5455.596s
# Number of orbits :                    100
# Number of points per orbit :          100


#      altitude      latitude     longitude         time
#          (km)           (°)           (°)          (s)
    320.616847         9.787       -47.354       11076.0
    321.138954        13.354       -48.038       11130.5
    321.808643        16.921       -48.736       11185.1
    322.615424        20.486       -49.452       11239.7
    323.546656        24.050       -50.191       11294.2
    324.587741        27.612       -50.959       11348.8
    325.722353        31.172       -51.764       11403.3
    326.932689        34.730       -52.614       11457.9
    328.199748        38.283       -53.520       11512.5
    329.503626        41.833       -54.496       11567.0
    330.823830        45.377       -55.560       11621.6
    332.139596        48.914       -56.736       11676.1
    333.430218        52.442       -58.056       11730.7
    334.675372        55.958       -59.567       11785.3
    335.855441        59.459       -61.334       11839.8
    336.951820        62.937       -63.455       11894.4
    337.947216        66.383       -66.086       11949.0
    338.825920        69.780       -69.477       12003.5
    339.574059        73.098       -74.066       12058.1
    340.179817        76.282       -80.658       12112.6
    340.633623        79.210       -90.798       12167.2
    340.928305        81.610      -107.272       12221.8
    341.059207        82.923      -132.661       12276.3
    341.024258        82.551      -161.474       12330.9
    340.824011        80.692       176.924       12385.4
    340.461632        78.021       163.537       12440.0
    339.942848        74.964       155.149       12494.6
    339.275856        71.714       149.535       12549.1
    338.471194        68.357       145.521       12603.7
    337.541567        64.937       142.490       12658.2
    336.501651        61.476       140.097       12712.8
    335.367854        57.988       138.140       12767.4
    334.158055        54.480       136.491       12821.9
    332.891322        50.958       135.067       12876.5
    331.587610        47.426       133.812       12931.1
    330.267441        43.886       132.687       12985.6
    328.951587        40.339       131.662       13040.2
    327.660737        36.788       130.718       13094.7
    326.415175        33.233       129.837       13149.3
